상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5742885087,hs298,스마트스토어,Y,테이블 스탠드 표찰 예약 흡연석 금연,N,-,판매중,전시중,59994,180500,2000,178500원,,2000,178500원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_220/1627384089369gPBRH_PNG/28519984884009079_1548837228.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885086,hs211,스마트스토어,Y,스티커표찰 소화기 흡연구역 화재 안내판,N,-,판매중,전시중,79992,6500,2000,4500원,,2000,4500원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_198/1627385262813PXzjF_PNG/28521046505822468_1952853996.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885085,hs222,스마트스토어,Y,스티커표찰 화장실 성별 안내판,N,-,판매중,전시중,179982,6500,2000,4500원,,2000,4500원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_146/16273879466546BcF0_PNG/28523774453393222_1779813217.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885084,hs253,스마트스토어,Y,스티커표찰 와이파이 화살표 우측통행 휠체어 손조심 안전,N,-,판매중,전시중,69993,4200,2000,2200원,,2000,2200원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_178/1627388726494VY5aB_PNG/28524625203576863_761090102.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885083,hs259,스마트스토어,Y,스티커표찰 영업중 영업시간 냉난방중 절전,N,-,판매중,전시중,79992,6500,2000,4500원,,2000,4500원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_183/1627389927882xp167_PNG/28525755679133325_72586587.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885081,hs2606,스마트스토어,Y,스티커표찰 순찰중 외출중 CCTV녹화중 관리책임자 문걸이,N,-,판매중,전시중,79992,7400,1500,5900원,,1500,5900원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_134/1627391920446brUEY_PNG/28527755276979763_107436635.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885080,hs245,스마트스토어,Y,스티커표찰 금연 금지 출입 반입 미성년 화기 사용 주차 표시판 포맥스 손대지마세요,N,-,판매중,전시중,279972,6500,2000,4500원,,2000,4500원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210727_227/16273952051282bnrI_PNG/28531039940732558_1571152010.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742885079,hs1191,스마트스토어,Y,명찰 케이스 목걸이 사원증 신분증 가죽 직원 이름표,N,-,판매중,전시중,259974,67800,700,67100원,,700,67100원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_58/1627429384162n9Lpg_PNG/28565272861360658_1186149717.png,,,,2021-07-25 17:17:35,2021-07-28 12:31:23,
5742869603,hs-4328,스마트스토어,Y,현수막 회전깃대 배너,N,-,판매중,전시중,19998,16500,16500,,,16500,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_73/1627200387287S2lr3_JPEG/17.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869602,hs-3513,스마트스토어,Y,현수막 퀵배너,N,-,판매중,전시중,19998,96800,25300,71500원,,25300,71500원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_120/1627430147885blMNh_PNG/28566036591517567_1647689195.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869601,hs-4511,스마트스토어,Y,현수막 업다운배너,N,-,판매중,전시중,39996,96800,29700,67100원,,29700,67100원,,N,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_184/1627200388461RNpP3_JPEG/116.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869600,hs-1268,스마트스토어,Y,현수막 스톰 배너,N,-,판매중,전시중,319968,41800,41800,,,41800,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_30/1627200388131T42Mw_JPEG/108.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869599,hs-4122,스마트스토어,Y,현수막 WIN 배너,N,-,판매중,전시중,59994,72600,33000,39600원,,33000,39600원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_155/1627431175332t0RWh_PNG/28567009137673589_1020702630.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869598,hs-1576,스마트스토어,Y,현수막 LVT 배너,N,-,판매중,전시중,59994,72600,36300,36300원,,36300,36300원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_125/1627431527620yxR0O_PNG/28567370332279382_1906506088.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869597,hs-455,스마트스토어,Y,펜꽂이,N,-,판매중,전시중,19998,43780,6500,37280원,,6500,37280원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_242/1627432037832ufci5_PNG/28567865659123212_1727079064.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869595,hs-452,스마트스토어,Y,테이블이젤 칠판스탠드 사인보드 가판대 스탠드 아크릴,N,-,판매중,전시중,149985,305800,4000,301800원,,4000,301800원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_164/1627432989216euDB6_PNG/28568831926142371_1691793777.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869593,hs-4296,스마트스토어,Y,칠판 자석 사인보드 화이트 블루 그린 핑크 가게인테리어,N,-,판매중,전시중,979902,459680,4400,455280원,,4400,455280원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_75/1627436138840Fm11V_PNG/28571918537870424_33945421.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869592,hs-4263,스마트스토어,Y,칠판 사인보드 화이트 월간계획 사무실,N,-,판매중,전시중,39996,57860,10000,47860원,,10000,47860원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_43/1627436436537Grqkc_PNG/28572216243676540_843053070.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869591,hs-3799,스마트스토어,Y,네온LED보드 마커 칠판 사인보드 문패 가게인테리어,N,-,판매중,전시중,109989,385330,850,384480원,,850,384480원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_260/16274371332721FuVm_PNG/28572975984521453_879874284.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869590,hs-2489,스마트스토어,Y,주차중 차량 흡착 부착 케이스,N,-,판매중,전시중,29997,9240,1400,7840원,,1400,7840원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_258/16274375409014sHP5_PNG/28573368524765201_507585436.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869589,hs-505,스마트스토어,Y,자석,N,-,판매중,전시중,9999,2420,2420,,,2420,,,N,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_67/1627200389782Qkywi_JPEG/330.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869588,hs-2875,스마트스토어,Y,입간판 에이보드,N,-,판매중,전시중,19998,110000,110000,,,110000,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_266/1627200389039YzbL3_GIF/207.gif,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869587,hs-3692,스마트스토어,Y,입간판 야외가판대 주차금지 미끄럼주의,N,-,판매중,전시중,19998,16000,16000,,,16000,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_53/1627437878538Kd6xr_PNG/28573706360061675_917684206.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869586,hs-2152,스마트스토어,Y,입간판 야외가판대 인쇄주문제작,N,-,판매중,전시중,29997,130000,130000,,,130000,,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_217/1627200389311G8qE2_JPEG/252.gif,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869585,hs-1142,스마트스토어,Y,유리창 표찰,N,-,판매중,전시중,9999,6000,6000,,,6000,,,N,Y,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_114/1627200387982Db2lg_JPEG/107.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869584,hs-1610,스마트스토어,Y,열쇠고리 키홀더,N,-,판매중,전시중,69993,44550,1750,42800원,,1750,42800원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_90/1627438410034NcviS_PNG/28574237823686493_864351548.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869583,hs-456,스마트스토어,Y,아크릴 정리함,N,-,판매중,전시중,49995,39160,5200,33960원,,5200,33960원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_29/1627438845205UqBdp_PNG/28574733690816648_150830955.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869582,hs-170,스마트스토어,Y,다양한 휴무 주차 표찰스티커 표시 안내판 부착 문패,N,-,판매중,전시중,59994,3010,3010,,,3010,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_246/1627200393106pLJmQ_JPEG/502.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869581,hs-2015,스마트스토어,Y,사무실 회의실 상담실 스티커표찰  부착,N,-,판매중,전시중,59994,3850,3150,700원,,3150,700원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_272/1627439382031BYRaW_PNG/28575270737327415_197375432.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869579,hs-252,스마트스토어,Y,다양한 도어사인 스티커표찰 미세요 당기세요 어서오세요 고정 출입 자동 폐문 안내,N,-,판매중,전시중,109989,1960,1960,,,1960,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_54/16274402133233MD4T_JPEG/28576102037832685_1202252811.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869578,hs-3004,스마트스토어,Y,다양한 다국어 스티커표찰 안내판 신발 화장실 금지 가격 청소,N,-,판매중,전시중,79992,3800,3800,,,3800,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_142/16272003901772rwLO_JPEG/408.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869577,hs-2612,스마트스토어,Y,스티커 아크릴표찰 화장실 남녀,N,-,판매중,전시중,19998,2240,2240,,,2240,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_269/1627200391121cS3lE_JPEG/440.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869576,hs-2122,스마트스토어,Y,스티커 도어사인 나무표찰 우드문패 화장실 미세요당기세요,N,-,판매중,전시중,109989,1750,1750,,,1750,,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_194/1627440783293sJfHQ_PNG/28576563012139026_127842119.png,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869575,hs-2912,스마트스토어,Y,메모보드 가게 공지 이벤트 냉장고 부착,N,-,판매중,전시중,39996,11550,5250,6300원,,5250,6300원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_109/16272003905394QGSs_JPEG/425.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869574,hs-2483,스마트스토어,Y,멀티케이스 아크릴 소형스티커 액자,N,-,판매중,전시중,49995,3080,1750,1330원,,1750,1330원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_149/1627200393951IlLhO_JPEG/558.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869573,hs-4315,스마트스토어,Y,담슈 담배 재떨이 공공시설,N,-,판매중,전시중,29997,169400,69000,100400원,,69000,100400원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,가구/인테리어,인테리어소품,기타장식용품,,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_92/1627441348904Y7oWO_JPEG/28577128525971549_1605340280.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869572,hs-2914,스마트스토어,Y,게시판 부동산 매매 공지 용지케이스 A4 A3 부착,N,-,판매중,전시중,9999,5250,5250,,,5250,,,N,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210728_187/1627441462508yQiMu_JPEG/28577242235674162_570265608.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869571,hs-293,스마트스토어,Y,건의함 사무실 마음의소리 익명의견,N,-,판매중,전시중,19998,36960,28800,8160원,,28800,8160원,,Y,N,N,,,,,1.0%,100,250,100,250,0,,,,조건부 무료,착불 또는 선결제,2750,2750,5500,N,Y,-,가구/인테리어,서재/사무용가구,사무/교구용가구,교구용가구/소품,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_84/1627200393654px2Vb_JPEG/554.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742869570,hs-2843,스마트스토어,Y,가로등배너 길거리현수막,N,-,판매중,전시중,9999,317000,317000,,,317000,,,N,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,4400,4400,8800,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,하우사인,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_153/1627200388242hzWld_JPEG/109.jpg,,,,2021-07-25 17:07:41,2021-07-28 12:31:23,
5742868398,sh-5682,스마트스토어,Y,(삼화꺼)현수막 로고배너,N,-,판매중,전시중지,1469853,184700,84700,100000원,,84700,100000원,,Y,Y,N,,,,,1.0%,100,250,100,250,0,,,,유료,선결제,5000,6000,6600,N,Y,-,생활/건강,문구/사무용품,사무용품,현수막,삼화몰,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210725_50/1627200075447UGjAa_JPEG/401.jpg,,,2021-07-25 17:06:05,2021-07-25 17:06:01,2021-07-28 12:26:40,
