광고그룹 ID,소재 ID,소재 상태
grp-a001-02-000000021785266,nad-a001-02-000000141206951,off
grp-a001-02-000000022036013,nad-a001-02-000000141206747,off
grp-a001-02-000000021807555,nad-a001-02-000000141206898,off
grp-a001-02-000000021807549,nad-a001-02-000000141207021,off
grp-a001-02-000000021807554,nad-a001-02-000000141207055,off
grp-a001-02-000000021807546,nad-a001-02-000000141206722,off
grp-a001-02-000000021807552,nad-a001-02-000000141206786,off
grp-a001-02-000000021807486,nad-a001-02-000000141206832,off
grp-a001-02-000000021807485,nad-a001-02-000000141206768,off
grp-a001-02-000000021807511,nad-a001-02-000000141207037,off
grp-a001-02-000000021807523,nad-a001-02-000000141206935,off
grp-a001-02-000000021807496,nad-a001-02-000000141206809,off
grp-a001-02-000000021807497,nad-a001-02-000000141206911,off
grp-a001-02-000000021807488,nad-a001-02-000000141207106,off
grp-a001-02-000000021807501,nad-a001-02-000000141206874,off
grp-a001-02-000000021807519,nad-a001-02-000000141206854,off
grp-a001-02-000000021854519,nad-a001-02-000000141206926,off
grp-a001-02-000000009335164,nad-a001-02-000000141206992,off
grp-a001-02-000000021785266,nad-a001-02-000000141206952,off
grp-a001-02-000000022036013,nad-a001-02-000000141206748,off
grp-a001-02-000000021807555,nad-a001-02-000000141206899,off
grp-a001-02-000000021807549,nad-a001-02-000000141207022,off
grp-a001-02-000000021807550,nad-a001-02-000000141206959,off
grp-a001-02-000000021807554,nad-a001-02-000000141207056,off
grp-a001-02-000000021807546,nad-a001-02-000000141206724,off
grp-a001-02-000000021807552,nad-a001-02-000000141206787,off
grp-a001-02-000000021807486,nad-a001-02-000000141206833,off
grp-a001-02-000000021807485,nad-a001-02-000000141206769,off
grp-a001-02-000000021807511,nad-a001-02-000000141207038,off
grp-a001-02-000000021807523,nad-a001-02-000000141206936,off
grp-a001-02-000000021807496,nad-a001-02-000000141206815,off
grp-a001-02-000000021807497,nad-a001-02-000000141206912,off
grp-a001-02-000000021807501,nad-a001-02-000000141206875,off
grp-a001-02-000000021807519,nad-a001-02-000000141206855,off
grp-a001-02-000000021854519,nad-a001-02-000000141206927,off
grp-a001-02-000000009335164,nad-a001-02-000000141206993,off
grp-a001-02-000000021807555,nad-a001-02-000000141206900,off
grp-a001-02-000000021807551,nad-a001-02-000000141207000,off
grp-a001-02-000000021807549,nad-a001-02-000000141207023,off
grp-a001-02-000000021807550,nad-a001-02-000000141206960,off
grp-a001-02-000000021807554,nad-a001-02-000000141207057,off
grp-a001-02-000000021807546,nad-a001-02-000000141206725,off
grp-a001-02-000000021807552,nad-a001-02-000000141206788,off
grp-a001-02-000000021807481,nad-a001-02-000000141206980,off
grp-a001-02-000000021807486,nad-a001-02-000000141206834,off
grp-a001-02-000000021807485,nad-a001-02-000000141206770,off
grp-a001-02-000000021807511,nad-a001-02-000000141207039,off
grp-a001-02-000000021807523,nad-a001-02-000000141206937,off
grp-a001-02-000000021807496,nad-a001-02-000000141206817,off
grp-a001-02-000000021807497,nad-a001-02-000000141206913,off
grp-a001-02-000000021807501,nad-a001-02-000000141206876,off
grp-a001-02-000000021807519,nad-a001-02-000000141206856,off
grp-a001-02-000000021854519,nad-a001-02-000000141206928,off
grp-a001-02-000000009335164,nad-a001-02-000000141206994,off
grp-a001-02-000000021807549,nad-a001-02-000000141207035,off
grp-a001-02-000000021807550,nad-a001-02-000000141206974,off
grp-a001-02-000000021807554,nad-a001-02-000000141207072,off
grp-a001-02-000000021807546,nad-a001-02-000000141206743,off
grp-a001-02-000000021807552,nad-a001-02-000000141206805,off
grp-a001-02-000000021807481,nad-a001-02-000000141206988,off
grp-a001-02-000000021807486,nad-a001-02-000000141206849,off
grp-a001-02-000000021807485,nad-a001-02-000000141206783,off
grp-a001-02-000000021807484,nad-a001-02-000000141207093,off
grp-a001-02-000000021807511,nad-a001-02-000000141207050,off
grp-a001-02-000000021807523,nad-a001-02-000000141206949,off
grp-a001-02-000000021807496,nad-a001-02-000000141206827,off
grp-a001-02-000000021807497,nad-a001-02-000000141206922,off
grp-a001-02-000000021807488,nad-a001-02-000000141207113,off
grp-a001-02-000000021807501,nad-a001-02-000000141206881,off
grp-a001-02-000000021807519,nad-a001-02-000000141206870,off
grp-a001-02-000000021854519,nad-a001-02-000000141206931,off
grp-a001-02-000000009335164,nad-a001-02-000000141206995,off
grp-a001-02-000000022036013,nad-a001-02-000000141206751,off
grp-a001-02-000000021807555,nad-a001-02-000000141206908,off
grp-a001-02-000000021807549,nad-a001-02-000000141207036,off
grp-a001-02-000000021807550,nad-a001-02-000000141206975,off
grp-a001-02-000000021807554,nad-a001-02-000000141207073,off
grp-a001-02-000000021807546,nad-a001-02-000000141206744,off
grp-a001-02-000000021807552,nad-a001-02-000000141206806,off
grp-a001-02-000000021807481,nad-a001-02-000000141206989,off
grp-a001-02-000000021807486,nad-a001-02-000000141206850,off
grp-a001-02-000000021807485,nad-a001-02-000000141206784,off
grp-a001-02-000000021807511,nad-a001-02-000000141207051,off
grp-a001-02-000000021807523,nad-a001-02-000000141206950,off
grp-a001-02-000000021807496,nad-a001-02-000000141206828,off
grp-a001-02-000000021807497,nad-a001-02-000000141206923,off
grp-a001-02-000000021807501,nad-a001-02-000000141206882,off
grp-a001-02-000000021807519,nad-a001-02-000000141206871,off
grp-a001-02-000000021854519,nad-a001-02-000000141206932,off
grp-a001-02-000000009335164,nad-a001-02-000000141206996,off
grp-a001-02-000000021807555,nad-a001-02-000000141206909,off
grp-a001-02-000000021807551,nad-a001-02-000000141207018,off
grp-a001-02-000000021807549,nad-a001-02-000000140009399,off
grp-a001-02-000000021807550,nad-a001-02-000000141206976,off
grp-a001-02-000000021807554,nad-a001-02-000000141207074,off
grp-a001-02-000000021807546,nad-a001-02-000000141206745,off
grp-a001-02-000000021807552,nad-a001-02-000000141206807,off
grp-a001-02-000000021807481,nad-a001-02-000000141206990,off
grp-a001-02-000000021807486,nad-a001-02-000000141206851,off
grp-a001-02-000000021807484,nad-a001-02-000000141207095,off
grp-a001-02-000000021807511,nad-a001-02-000000141207052,off
grp-a001-02-000000021807523,nad-a001-02-000000140009854,off
grp-a001-02-000000021807496,nad-a001-02-000000141206829,off
grp-a001-02-000000021807497,nad-a001-02-000000141206924,off
grp-a001-02-000000021807501,nad-a001-02-000000141206883,off
grp-a001-02-000000021807519,nad-a001-02-000000141206872,off
grp-a001-02-000000021854519,nad-a001-02-000000141206933,off
grp-a001-02-000000009335164,nad-a001-02-000000140009123,off
grp-a001-02-000000022036032,nad-a001-02-000000140183883,off
grp-a001-02-000000021807555,nad-a001-02-000000141206910,off
grp-a001-02-000000021807551,nad-a001-02-000000141207019,off
grp-a001-02-000000021807549,nad-a001-02-000000140009398,off
grp-a001-02-000000021807550,nad-a001-02-000000141206977,off
grp-a001-02-000000021807554,nad-a001-02-000000141207075,off
grp-a001-02-000000021807546,nad-a001-02-000000141206746,off
grp-a001-02-000000021807552,nad-a001-02-000000141206808,off
grp-a001-02-000000021807481,nad-a001-02-000000141206991,off
grp-a001-02-000000021807486,nad-a001-02-000000141206852,off
grp-a001-02-000000021807484,nad-a001-02-000000141207096,off
grp-a001-02-000000021807523,nad-a001-02-000000140009855,off
grp-a001-02-000000021807496,nad-a001-02-000000141206830,off
grp-a001-02-000000021807497,nad-a001-02-000000141206925,off
grp-a001-02-000000021807501,nad-a001-02-000000141206884,off
grp-a001-02-000000021807519,nad-a001-02-000000141206873,off
grp-a001-02-000000021854519,nad-a001-02-000000141206934,off
grp-a001-02-000000009335164,nad-a001-02-000000140009124,off
grp-a001-02-000000021785266,nad-a001-02-000000140009136,off
grp-a001-02-000000021785283,nad-a001-02-000000141207100,off
grp-a001-02-000000022036013,nad-a001-02-000000140183817,off
grp-a001-02-000000021807555,nad-a001-02-000000141206905,off
grp-a001-02-000000021807551,nad-a001-02-000000141207014,off
grp-a001-02-000000021807550,nad-a001-02-000000141206972,off
grp-a001-02-000000021807554,nad-a001-02-000000141207070,off
grp-a001-02-000000021807546,nad-a001-02-000000141206730,off
grp-a001-02-000000021807552,nad-a001-02-000000141206802,off
grp-a001-02-000000021807481,nad-a001-02-000000141206986,off
grp-a001-02-000000021807486,nad-a001-02-000000141206847,off
grp-a001-02-000000021807523,nad-a001-02-000000140009856,off
grp-a001-02-000000021807496,nad-a001-02-000000141206825,off
grp-a001-02-000000021807497,nad-a001-02-000000141206920,off
grp-a001-02-000000021807501,nad-a001-02-000000141206879,off
grp-a001-02-000000021807519,nad-a001-02-000000141206868,off
grp-a001-02-000000021854519,nad-a001-02-000000141206929,off
grp-a001-02-000000009335164,nad-a001-02-000000140009121,off
grp-a001-02-000000021785285,nad-a001-02-000000141206889,off
grp-a001-02-000000022036032,nad-a001-02-000000140183881,off
grp-a001-02-000000021785266,nad-a001-02-000000140009137,off
grp-a001-02-000000022036013,nad-a001-02-000000140183818,off
grp-a001-02-000000021807555,nad-a001-02-000000141206906,off
grp-a001-02-000000021807551,nad-a001-02-000000141207015,off
grp-a001-02-000000021807550,nad-a001-02-000000141206973,off
grp-a001-02-000000021807554,nad-a001-02-000000141207071,off
grp-a001-02-000000021807546,nad-a001-02-000000141206739,off
grp-a001-02-000000021807552,nad-a001-02-000000141206804,off
grp-a001-02-000000021807481,nad-a001-02-000000141206987,off
grp-a001-02-000000021807486,nad-a001-02-000000141206848,off
grp-a001-02-000000021807511,nad-a001-02-000000141207049,off
grp-a001-02-000000021807496,nad-a001-02-000000141206826,off
grp-a001-02-000000021807497,nad-a001-02-000000141206921,off
grp-a001-02-000000021807501,nad-a001-02-000000141206880,off
grp-a001-02-000000021807519,nad-a001-02-000000141206869,off
grp-a001-02-000000021854519,nad-a001-02-000000141206930,off
grp-a001-02-000000021736136,nad-a001-02-000000137583320,off
grp-a001-02-000000021785285,nad-a001-02-000000138098229,off
grp-a001-02-000000022036032,nad-a001-02-000000140183859,off
grp-a001-02-000000021785266,nad-a001-02-000000138098205,off
grp-a001-02-000000021785283,nad-a001-02-000000138098223,off
grp-a001-02-000000022036013,nad-a001-02-000000140183796,off
grp-a001-02-000000021807555,nad-a001-02-000000141206901,off
grp-a001-02-000000021807551,nad-a001-02-000000138288728,off
grp-a001-02-000000021807550,nad-a001-02-000000138288730,off
grp-a001-02-000000021807546,nad-a001-02-000000141206726,off
grp-a001-02-000000021807481,nad-a001-02-000000141206981,off
grp-a001-02-000000021807486,nad-a001-02-000000141206835,off
grp-a001-02-000000021807511,nad-a001-02-000000141207040,off
grp-a001-02-000000021807523,nad-a001-02-000000138288734,off
grp-a001-02-000000021807496,nad-a001-02-000000141206818,off
grp-a001-02-000000021807497,nad-a001-02-000000141206914,off
grp-a001-02-000000021854519,nad-a001-02-000000138741042,off
grp-a001-02-000000009335164,nad-a001-02-000000137752690,off
grp-a001-02-000000021785285,nad-a001-02-000000138098230,off
grp-a001-02-000000022036032,nad-a001-02-000000140183862,off
grp-a001-02-000000021785266,nad-a001-02-000000138098206,off
grp-a001-02-000000021785283,nad-a001-02-000000138098224,off
grp-a001-02-000000022036013,nad-a001-02-000000140183799,off
grp-a001-02-000000021807551,nad-a001-02-000000138288729,off
grp-a001-02-000000021807549,nad-a001-02-000000138288733,off
grp-a001-02-000000021807550,nad-a001-02-000000138288731,off
grp-a001-02-000000021807546,nad-a001-02-000000141206727,off
grp-a001-02-000000021807481,nad-a001-02-000000141206982,off
grp-a001-02-000000021807511,nad-a001-02-000000141207041,off
grp-a001-02-000000021807523,nad-a001-02-000000138288735,off
grp-a001-02-000000021807496,nad-a001-02-000000141206819,off
grp-a001-02-000000021807497,nad-a001-02-000000141206915,off
grp-a001-02-000000021807488,nad-a001-02-000000138288743,off
grp-a001-02-000000021807501,nad-a001-02-000000138288741,off
grp-a001-02-000000021854519,nad-a001-02-000000138741045,off
grp-a001-02-000000009335164,nad-a001-02-000000137752691,off
grp-a001-02-000000021736136,nad-a001-02-000000138287041,off
grp-a001-02-000000022036032,nad-a001-02-000000140183863,off
grp-a001-02-000000021785283,nad-a001-02-000000138286285,off
grp-a001-02-000000022036013,nad-a001-02-000000140183800,off
grp-a001-02-000000021807555,nad-a001-02-000000138288526,off
grp-a001-02-000000021807551,nad-a001-02-000000141207001,off
grp-a001-02-000000021807549,nad-a001-02-000000141207024,off
grp-a001-02-000000021807550,nad-a001-02-000000141206961,off
grp-a001-02-000000021807554,nad-a001-02-000000141207058,off
grp-a001-02-000000021807546,nad-a001-02-000000138288555,off
grp-a001-02-000000021807552,nad-a001-02-000000141206789,off
grp-a001-02-000000021807486,nad-a001-02-000000141206836,off
grp-a001-02-000000021807485,nad-a001-02-000000141206771,off
grp-a001-02-000000021807523,nad-a001-02-000000141206938,off
grp-a001-02-000000021807496,nad-a001-02-000000141206820,off
grp-a001-02-000000021807519,nad-a001-02-000000141206857,off
grp-a001-02-000000021854519,nad-a001-02-000000138741046,off
grp-a001-02-000000009335164,nad-a001-02-000000138286760,off
grp-a001-02-000000021736136,nad-a001-02-000000138287042,off
grp-a001-02-000000021785285,nad-a001-02-000000138287085,off
grp-a001-02-000000022036032,nad-a001-02-000000140183864,off
grp-a001-02-000000021785266,nad-a001-02-000000138287064,off
grp-a001-02-000000021785283,nad-a001-02-000000138286286,off
grp-a001-02-000000022036013,nad-a001-02-000000140183801,off
grp-a001-02-000000021807555,nad-a001-02-000000138288527,off
grp-a001-02-000000021807551,nad-a001-02-000000141207002,off
grp-a001-02-000000021807549,nad-a001-02-000000141207025,off
grp-a001-02-000000021807550,nad-a001-02-000000141206962,off
grp-a001-02-000000021807552,nad-a001-02-000000141206790,off
grp-a001-02-000000021807486,nad-a001-02-000000141206837,off
grp-a001-02-000000021807485,nad-a001-02-000000141206772,off
grp-a001-02-000000021807523,nad-a001-02-000000141206939,off
grp-a001-02-000000021807488,nad-a001-02-000000138288672,off
grp-a001-02-000000021807519,nad-a001-02-000000141206858,off
grp-a001-02-000000021854519,nad-a001-02-000000138741047,off
grp-a001-02-000000009335164,nad-a001-02-000000138286761,off
grp-a001-02-000000022036032,nad-a001-02-000000140183865,off
grp-a001-02-000000021785266,nad-a001-02-000000141206954,off
grp-a001-02-000000021785283,nad-a001-02-000000138286287,off
grp-a001-02-000000022036013,nad-a001-02-000000140183802,off
grp-a001-02-000000021807555,nad-a001-02-000000138288528,off
grp-a001-02-000000021807551,nad-a001-02-000000141207003,off
grp-a001-02-000000021807549,nad-a001-02-000000141207026,off
grp-a001-02-000000021807550,nad-a001-02-000000141206963,off
grp-a001-02-000000021807554,nad-a001-02-000000141207060,off
grp-a001-02-000000021807546,nad-a001-02-000000138288557,off
grp-a001-02-000000021807552,nad-a001-02-000000141206791,off
grp-a001-02-000000021807486,nad-a001-02-000000141206838,off
grp-a001-02-000000021807485,nad-a001-02-000000141206773,off
grp-a001-02-000000021807523,nad-a001-02-000000141206940,off
grp-a001-02-000000021807497,nad-a001-02-000000138288631,off
grp-a001-02-000000021807519,nad-a001-02-000000141206859,off
grp-a001-02-000000021854519,nad-a001-02-000000138741048,off
grp-a001-02-000000009335164,nad-a001-02-000000138286762,off
grp-a001-02-000000022036032,nad-a001-02-000000140183866,off
grp-a001-02-000000021785266,nad-a001-02-000000138287066,off
grp-a001-02-000000021785283,nad-a001-02-000000138286288,off
grp-a001-02-000000022036013,nad-a001-02-000000140183803,off
grp-a001-02-000000021807555,nad-a001-02-000000141206902,off
grp-a001-02-000000021807551,nad-a001-02-000000141207004,off
grp-a001-02-000000021807549,nad-a001-02-000000141207027,off
grp-a001-02-000000021807550,nad-a001-02-000000141206964,off
grp-a001-02-000000021807554,nad-a001-02-000000141207061,off
grp-a001-02-000000021807552,nad-a001-02-000000141206792,off
grp-a001-02-000000021807485,nad-a001-02-000000141206774,off
grp-a001-02-000000021807484,nad-a001-02-000000141207088,off
grp-a001-02-000000021807523,nad-a001-02-000000141206941,off
grp-a001-02-000000021807496,nad-a001-02-000000141206821,off
grp-a001-02-000000021807488,nad-a001-02-000000141207109,off
grp-a001-02-000000021807501,nad-a001-02-000000141206877,off
grp-a001-02-000000021807519,nad-a001-02-000000141206860,off
grp-a001-02-000000021854519,nad-a001-02-000000138741049,off
grp-a001-02-000000021785283,nad-a001-02-000000138286289,off
grp-a001-02-000000022036013,nad-a001-02-000000140183804,off
grp-a001-02-000000021807551,nad-a001-02-000000141207005,off
grp-a001-02-000000021807549,nad-a001-02-000000141207028,off
grp-a001-02-000000021807554,nad-a001-02-000000141207062,off
grp-a001-02-000000021807546,nad-a001-02-000000141206729,off
grp-a001-02-000000021807552,nad-a001-02-000000141206793,off
grp-a001-02-000000021807481,nad-a001-02-000000141206985,off
grp-a001-02-000000021807486,nad-a001-02-000000141206840,off
grp-a001-02-000000021807485,nad-a001-02-000000141206775,off
grp-a001-02-000000021807484,nad-a001-02-000000141207089,off
grp-a001-02-000000021807523,nad-a001-02-000000141206942,off
grp-a001-02-000000021807496,nad-a001-02-000000141206822,off
grp-a001-02-000000021807497,nad-a001-02-000000141206917,off
grp-a001-02-000000021807488,nad-a001-02-000000141207110,off
grp-a001-02-000000021807501,nad-a001-02-000000141206878,off
grp-a001-02-000000021807519,nad-a001-02-000000141206861,off
grp-a001-02-000000021854519,nad-a001-02-000000138741050,off
grp-a001-02-000000021736136,nad-a001-02-000000137752674,off
grp-a001-02-000000021785285,nad-a001-02-000000140188130,off
grp-a001-02-000000022036032,nad-a001-02-000000140183869,off
grp-a001-02-000000021785266,nad-a001-02-000000138098209,off
grp-a001-02-000000021785283,nad-a001-02-000000138098227,off
grp-a001-02-000000022036013,nad-a001-02-000000140183806,off
grp-a001-02-000000021807551,nad-a001-02-000000141207006,off
grp-a001-02-000000021807549,nad-a001-02-000000141207029,off
grp-a001-02-000000021807550,nad-a001-02-000000141206966,off
grp-a001-02-000000021807554,nad-a001-02-000000141207064,off
grp-a001-02-000000021807552,nad-a001-02-000000141206794,off
grp-a001-02-000000021807486,nad-a001-02-000000141206841,off
grp-a001-02-000000021807485,nad-a001-02-000000141206776,off
grp-a001-02-000000021807484,nad-a001-02-000000138288701,off
grp-a001-02-000000021807523,nad-a001-02-000000141206943,off
grp-a001-02-000000021807519,nad-a001-02-000000141206862,off
grp-a001-02-000000021854519,nad-a001-02-000000138741053,off
grp-a001-02-000000009335164,nad-a001-02-000000138098432,off
grp-a001-02-000000022036032,nad-a001-02-000000140183871,off
grp-a001-02-000000021785266,nad-a001-02-000000138098210,off
grp-a001-02-000000021785283,nad-a001-02-000000138098228,off
grp-a001-02-000000022036013,nad-a001-02-000000140183808,off
grp-a001-02-000000021807555,nad-a001-02-000000138288532,off
grp-a001-02-000000021807551,nad-a001-02-000000141207007,off
grp-a001-02-000000021807549,nad-a001-02-000000141207030,off
grp-a001-02-000000021807550,nad-a001-02-000000141206967,off
grp-a001-02-000000021807554,nad-a001-02-000000141207065,off
grp-a001-02-000000021807552,nad-a001-02-000000141206797,off
grp-a001-02-000000021807486,nad-a001-02-000000141206842,off
grp-a001-02-000000021807485,nad-a001-02-000000141206777,off
grp-a001-02-000000021807484,nad-a001-02-000000138288703,off
grp-a001-02-000000021807523,nad-a001-02-000000141206944,off
grp-a001-02-000000021807501,nad-a001-02-000000138288607,off
grp-a001-02-000000021807519,nad-a001-02-000000141206863,off
grp-a001-02-000000021854519,nad-a001-02-000000138741057,off
grp-a001-02-000000009335164,nad-a001-02-000000137580743,off
grp-a001-02-000000021736136,nad-a001-02-000000138287048,off
grp-a001-02-000000021785285,nad-a001-02-000000138287091,off
grp-a001-02-000000022036032,nad-a001-02-000000140183873,off
grp-a001-02-000000021785266,nad-a001-02-000000138287070,off
grp-a001-02-000000021785283,nad-a001-02-000000138286293,off
grp-a001-02-000000022036013,nad-a001-02-000000140183810,off
grp-a001-02-000000021807551,nad-a001-02-000000141207009,off
grp-a001-02-000000021807549,nad-a001-02-000000141207031,off
grp-a001-02-000000021807550,nad-a001-02-000000141206968,off
grp-a001-02-000000021807554,nad-a001-02-000000141207066,off
grp-a001-02-000000021807552,nad-a001-02-000000141206798,off
grp-a001-02-000000021807486,nad-a001-02-000000141206843,off
grp-a001-02-000000021807485,nad-a001-02-000000141206778,off
grp-a001-02-000000021807523,nad-a001-02-000000141206945,off
grp-a001-02-000000021807496,nad-a001-02-000000141206823,off
grp-a001-02-000000021807519,nad-a001-02-000000141206864,off
grp-a001-02-000000021854519,nad-a001-02-000000138741059,off
grp-a001-02-000000009335164,nad-a001-02-000000138286768,off
grp-a001-02-000000021807511,nad-a001-02-000000141199731,off
grp-a001-02-000000021736136,nad-a001-02-000000141199625,off
grp-a001-02-000000021785285,nad-a001-02-000000141199723,off
grp-a001-02-000000022036013,nad-a001-02-000000141208414,off
grp-a001-02-000000021807551,nad-a001-02-000000141206997,off
grp-a001-02-000000021807549,nad-a001-02-000000141207020,off
grp-a001-02-000000021807550,nad-a001-02-000000141206957,off
grp-a001-02-000000021807554,nad-a001-02-000000141207054,off
grp-a001-02-000000021807546,nad-a001-02-000000141199719,off
grp-a001-02-000000021807552,nad-a001-02-000000141206785,off
grp-a001-02-000000021807486,nad-a001-02-000000141206831,off
grp-a001-02-000000021807485,nad-a001-02-000000141206767,off
grp-a001-02-000000021807484,nad-a001-02-000000141199732,off
grp-a001-02-000000021807523,nad-a001-02-000000141199727,off
grp-a001-02-000000021807497,nad-a001-02-000000141199725,off
grp-a001-02-000000021807501,nad-a001-02-000000141199722,off
grp-a001-02-000000021807519,nad-a001-02-000000141206853,off
grp-a001-02-000000009335164,nad-a001-02-000000141199730,off
grp-a001-02-000000022036032,nad-a001-02-000000140183878,off
grp-a001-02-000000021785283,nad-a001-02-000000138286296,off
grp-a001-02-000000022036013,nad-a001-02-000000140183815,off
grp-a001-02-000000021807555,nad-a001-02-000000141206904,off
grp-a001-02-000000021807551,nad-a001-02-000000141207011,off
grp-a001-02-000000021807549,nad-a001-02-000000141207033,off
grp-a001-02-000000021807550,nad-a001-02-000000141206970,off
grp-a001-02-000000021807554,nad-a001-02-000000141207068,off
grp-a001-02-000000021807546,nad-a001-02-000000138288568,off
grp-a001-02-000000021807552,nad-a001-02-000000141206800,off
grp-a001-02-000000021807486,nad-a001-02-000000141206845,off
grp-a001-02-000000021807485,nad-a001-02-000000141206780,off
grp-a001-02-000000021807484,nad-a001-02-000000138288710,off
grp-a001-02-000000021807523,nad-a001-02-000000141206947,off
grp-a001-02-000000021807488,nad-a001-02-000000138288684,off
grp-a001-02-000000021807519,nad-a001-02-000000141206866,off
grp-a001-02-000000021854519,nad-a001-02-000000138741064,off
grp-a001-02-000000009335164,nad-a001-02-000000138286771,off
grp-a001-02-000000022036032,nad-a001-02-000000140183879,off
grp-a001-02-000000021785283,nad-a001-02-000000138286297,off
grp-a001-02-000000022036013,nad-a001-02-000000140183816,off
grp-a001-02-000000021807551,nad-a001-02-000000141207012,off
grp-a001-02-000000021807549,nad-a001-02-000000141207034,off
grp-a001-02-000000021807550,nad-a001-02-000000141206971,off
grp-a001-02-000000021807554,nad-a001-02-000000141207069,off
grp-a001-02-000000021807546,nad-a001-02-000000138288569,off
grp-a001-02-000000021807552,nad-a001-02-000000141206801,off
grp-a001-02-000000021807486,nad-a001-02-000000141206846,off
grp-a001-02-000000021807485,nad-a001-02-000000141206781,off
grp-a001-02-000000021807484,nad-a001-02-000000138288711,off
grp-a001-02-000000021807523,nad-a001-02-000000141206948,off
grp-a001-02-000000021807496,nad-a001-02-000000141206824,off
grp-a001-02-000000021807488,nad-a001-02-000000138288685,off
grp-a001-02-000000021807519,nad-a001-02-000000141206867,off
grp-a001-02-000000021854519,nad-a001-02-000000138741065,off
grp-a001-02-000000009335164,nad-a001-02-000000138286772,off
grp-a001-02-000000021807511,nad-a001-02-000000138288591,off
grp-a001-02-000000022036032,nad-a001-02-000000140183876,off
grp-a001-02-000000021785266,nad-a001-02-000000138098208,off
grp-a001-02-000000021785283,nad-a001-02-000000138098226,off
grp-a001-02-000000022036013,nad-a001-02-000000140183813,off
grp-a001-02-000000021807551,nad-a001-02-000000141207010,off
grp-a001-02-000000021807549,nad-a001-02-000000141207032,off
grp-a001-02-000000021807550,nad-a001-02-000000141206969,off
grp-a001-02-000000021807554,nad-a001-02-000000141207067,off
grp-a001-02-000000021807552,nad-a001-02-000000141206799,off
grp-a001-02-000000021807486,nad-a001-02-000000141206844,off
grp-a001-02-000000021807485,nad-a001-02-000000141206779,off
grp-a001-02-000000021807484,nad-a001-02-000000141207090,off
grp-a001-02-000000021807523,nad-a001-02-000000141206946,off
grp-a001-02-000000021807497,nad-a001-02-000000138288640,off
grp-a001-02-000000021807519,nad-a001-02-000000141206865,off
grp-a001-02-000000021854519,nad-a001-02-000000138741062,off
grp-a001-02-000000009335164,nad-a001-02-000000101417703,off
